slice,value,support,errors,error_rate,false_positives,false_negatives,accuracy,precision,recall,f1,top_terms
topic,topic_1,8661,89,0.01027594965939268,29,60,0.9897240503406073,0.99131996408261,0.9822064056939501,0.9867421421123194,"people, think, like, good, don, want, help, just"
topic,topic_5,13729,80,0.005827081360623498,24,56,0.9941729186393765,0.9968429360694554,0.9926643961226094,0.9947492780257285,"students, school, student, learning, classes, teachers, teacher, work"
topic,topic_7,5168,23,0.00445046439628483,3,20,0.9955495356037152,0.9964664310954063,0.976905311778291,0.9865889212827988,"driverless, phones, driving, phone, cars, car, cell, driver"
topic,topic_6,3084,9,0.0029182879377431907,1,8,0.9970817120622568,0.9986859395532195,0.9895833333333334,0.9941137998691956,"facial, emotions, technology, computer, coding, expressions, action, classroom"
topic,topic_4,2543,7,0.0027526543452615023,2,5,0.9972473456547385,0.9962894248608535,0.9907749077490775,0.9935245143385754,"venus, planet, earth, author, surface, dangers, exploring, studying"
topic,topic_3,5782,15,0.002594258042199931,7,8,0.9974057419578001,0.9970612930310663,0.9966428871170793,0.9968520461699895,"car, cars, usage, limiting, pollution, air, transportation, reduce"
topic,topic_8,2339,6,0.0025651988029072254,1,5,0.9974348011970928,0.9983416252072969,0.9917627677100495,0.9950413223140496,"mars, face, landform, natural, aliens, alien, nasa, picture"
topic,topic_2,5117,9,0.0017588430721125659,0,9,0.9982411569278874,1.0,0.9950110864745011,0.9974993053626007,"electoral, vote, college, president, popular, votes, election, states"
