model,accuracy,precision,recall,f1
TF-IDF + Logistic Regression,0.9944639510587424,0.9973614775725593,0.9883177570093458,0.992819022604711
TF-IDF + Linear SVM,0.9995045559313271,0.9997772952508213,0.9989430351579884,0.9993599910955283
Fine-tuned DistilBERT,0.9948732309415592,0.9962511190689346,0.990487316421896,0.9933608569515732
