run,learning_rate,batch_size,epochs,accuracy,precision,recall,f1,eval_loss
B,5e-05,4,1,0.986,0.9782051282051282,0.9857881136950905,0.9819819819819819,0.0739908292889595
D,2e-05,4,2,0.985,0.9696969696969697,0.9922480620155039,0.9808429118773946,0.09019783139228821
C,2e-05,8,1,0.9825,0.9671302149178256,0.9883720930232558,0.9776357827476039,0.07833531498908997
A,2e-05,4,1,0.979,0.9586466165413534,0.9883720930232558,0.9732824427480916,0.10207705199718475
